"País","Aérea","Marítima","Região","Continente","Ano"
"Estônia","Sim","Sim","Europa","Europa","2019"
"Finlândia","Sim","Sim","Europa","Europa","2019"
"França","Sim","Sim","Europa","Europa","2019"
"Grécia","Sim","Sim","Europa","Europa","2019"
"Holanda","Sim","Sim","Europa","Europa","2019"
"Hungria","Sim","Sim","Europa","Europa","2019"
"Irlanda","Sim","Sim","Europa","Europa","2019"
"Itália","Sim","Sim","Europa","Europa","2019"
"Letônia","Sim","Sim","Europa","Europa","2019"
"Lituânia","Sim","Sim","Europa","Europa","2019"
"Luxemburgo","Sim","Não","Europa","Europa","2019"
"Noruega","Sim","Sim","Europa","Europa","2019"
"Polônia","Sim","Sim","Europa","Europa","2019"
"Portugal","Sim","Sim","Europa","Europa","2019"
"Reino Unido","Sim","Sim","Europa","Europa","2019"
"República Tcheca","Sim","Sim","Europa","Europa","2019"
"Romênia","Sim","Sim","Europa","Europa","2019"
"Rússia","Sim","Sim","Europa","Europa","2019"
"Sérvia","Sim","Sim","Europa","Europa","2019"
"Suécia","Sim","Sim","Europa","Europa","2019"
"Suíça","Sim","Sim","Europa","Europa","2019"
"Turquia","Sim","Sim","Europa","Europa","2019"
"Ucrânia","Sim","Sim","Europa","Europa","2019"
"Outros","Sim","Sim","Europa","Europa","2019"
"Austrália","Sim","Sim","Oceania","Oceania","2019"
"Nova Zelândia","Sim","Sim","Oceania","Oceania","2019"
"Outros","Sim","Sim","Oceania","Oceania","2019"
"Países não especificados","Sim","Não","Desconhecido","Oceania","2019"
