PepperName,ScovilleHeatUnits(SHU)
Tianying,25000
Tears Of Fire,23600
Chungyang Red Pepper,23000
Chilli Wili Pepper,23000
Aleppo Pepper,23000
Halabi Pepper,23000
Serrano pepper,23000
Aj Pineapple Pepper,20000
Onza Roja Pepper,20000
Black Hungarian Pepper,20000
Aji Colorado Pepper,20000
Aj Brazilian Pumpkin Pepper,20000
Peruvian Purple Pepper,20000
Hidalgo Pepper,17000
Aji Escabeche,17000
Capsiate,16000
Aji Bento,15500
Abbraccio,15000
Hot Banana Pepper,15000
Estrela-do-Mar,15000
Jarales,15000
Cseresznye Paprika,15000
Israeli Hot,15000
Balozinho,15000
Yellow Wax Pepper,15000
Aji Cobincho,15000
Dutch Red,15000
Afeg Curta,15000
Kung Pao Pepper,12000
Costeno Rojo Pepper,12000
Biker Billy Jalapeno,10000
Fresno Pepper,10000
Fish Pepper,10000
Earbob,10000
Dutch Pepper,10000
Wax Pepper,10000
Pasilla de Oaxaco Chilli,10000
Lumbre Hot,10000
Chipotle Pepper,10000
Hot Wax pepper,10000
Hungarian Wax Pepper,10000
Puya Pepper,10000
Louisiana Hot Pepper,10000
Hot Apple Pepper,10000
Purple Tiger ÔTrifettiÕ,9000
Long Thick Cayenne,8500
Jalapeo Pepper,8000
Huachinango Pepper,8000
Chilli Gordo Pepper,8000
New Mexican Annaheim Pepper,8000
Pretty Purple,8000
Cascabel Chilli,8000
Mitla Pepper,8000
BarkerÕs Hot,7000
Sandia Pepper,7000
Chimayo,6000
Hatch Green,6000
Equador Roxa,5000
Kori Sitakame,5000
Cyklon,5000
Cochiti,5000
Cochabamba,5000
Bulgarian Carrot Pepper,5000
Atomic Heart,5000
Azr,5000
Baccio di Satana,5000
Bermuda,5000
Bouquet,5000
Caloro Pepper,5000
Cenoura Blgara,5000
Cereja,5000
Cherry Bomb Pepper,5000
Chilcostle Pepper,5000
Volcano Pepper,5000
Ubatuba Cambuci,5000
Serrano Tampequino Pepper,5000
Purple Jalapeo Pepper,5000
Pimientos de Padrn,5000
Kerinting,5000
Fogo Explosivo,5000
Chintexle,5000
Nosegay,5000
Dhanraj,5000
Kalia,5000
Jemes,5000
Jaloro Pepper,5000
Isleta,5000
Inferno Pepper,5000
Inchanga,5000
Huatulco Puntado,5000
Huasteco Pepper,5000
Hari Mirch,5000
Gulbarga,5000
Guajillo Pepper,5000
Golden Nugget,5000
Goan,5000
Chilli de Cuscutlan,5000
NM 6-4 Heritage,5000
Mirasol Pepper,5000
Floral Gem,5000
Mesilla Pepper,4500
Cascabella,4000
San Ardo,4000
Ancho San Luis Pepper,4000
Big Jim Heritage,4000
Espelette,4000
Italian Sweet Pepper,3000
Pulla Pepper,3000
NuMex Big JimPepper,2500
Ammazzo,2500
Anaheim Pepper,2500
Calabria,2500
Japanese Pepper,2500
Aji Andina,2500
Californian Pepper,2500
Cascabel Pepper,2500
Magdalena Pepper,2500
Alcalde,2500
Rocotilla pepper,2500
Prometheus Springs Pepper,2500
Cherry Pepper,2500
Poinsettia Pepper,2500
Padro Pepper,2500
Rocotillo Pepper,2500
Aj Habanero Pepper,2500
Ancho Pepper,2000
Szentesi Chilli,2000
Espanola Pepper,2000
Chilhuacle Negro Chilli,2000
Mulato Isleno Pepper,2000
Pasilla Pepper,2000
Poblano Pepper,2000
Costeno Amarillo Pepper,2000
Tobago Seasoning Pepper,2000
Chilaca Pepper,2000
